2025-05-14 04:52:29,097 INFO    MainThread:1049647 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/lnavarro/tec/iap2/wandb/run-20250514_045228-yw3zwo61/logs/debug.log
2025-05-14 04:52:29,098 INFO    MainThread:1049647 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/lnavarro/tec/iap2/wandb/run-20250514_045228-yw3zwo61/logs/debug-internal.log
2025-05-14 04:52:29,098 INFO    MainThread:1049647 [wandb_init.py:monkeypatch_ipython():643] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f77f5159790>
2025-05-14 04:52:29,098 INFO    MainThread:1049647 [wandb_init.py:init():852] calling init triggers
2025-05-14 04:52:29,098 INFO    MainThread:1049647 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'epochs': 15, 'batch_size': 32, 'learning_rate': 0.0003, 'architecture': 'ResNet18Audio', 'input_size': '1x224x224', 'num_classes': 10, 'bilateral_filter': True, 'augmentation': False, '_wandb': {}}
2025-05-14 04:52:31,056 INFO    MainThread:1049647 [wandb_init.py:init():893] starting backend
2025-05-14 04:52:31,056 INFO    MainThread:1049647 [wandb_init.py:init():897] sending inform_init request
2025-05-14 04:52:31,058 INFO    MainThread:1049647 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-14 04:52:31,058 INFO    MainThread:1049647 [wandb_init.py:init():907] backend started and connected
2025-05-14 04:52:31,061 INFO    MainThread:1049647 [wandb_run.py:_label_probe_notebook():1369] probe notebook
2025-05-14 04:52:31,061 INFO    MainThread:1049647 [wandb_run.py:_label_probe_notebook():1379] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-05-14 04:52:31,061 INFO    MainThread:1049647 [wandb_init.py:init():1002] updated telemetry
2025-05-14 04:52:31,063 INFO    MainThread:1049647 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-05-14 04:52:31,922 INFO    MainThread:1049647 [wandb_init.py:init():1101] starting run threads in backend
2025-05-14 04:52:32,170 INFO    MainThread:1049647 [wandb_run.py:_console_start():2566] atexit reg
2025-05-14 04:52:32,170 INFO    MainThread:1049647 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-05-14 04:52:32,170 INFO    MainThread:1049647 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-05-14 04:52:32,170 INFO    MainThread:1049647 [wandb_run.py:_redirect():2506] Redirects installed.
2025-05-14 04:52:32,171 INFO    MainThread:1049647 [wandb_init.py:init():1147] run started, returning control to user process
