Epoch,Phase,Iteration,Accuracy,Loss
3,Training,600,0.0,10021.318905544496
3,Val,600,0.0,10018.480050923983
6,Training,1200,0.0,10021.295363042433
6,Val,1200,0.0,10017.770792341847
9,Training,1800,0.0,10020.622822603184
9,Val,1800,0.0,10017.862245392109
12,Training,2400,0.0,10020.768025810443
12,Val,2400,0.0,10017.816100249944
15,Training,3000,0.0,10021.903770908175
15,Val,3000,0.0,10017.758909842503
18,Training,3600,0.0,10017.964049684631
18,Val,3600,0.0,10017.770179343639
21,Training,4200,0.0,10016.101516406436
21,Val,4200,0.0,10017.657356642096
24,Training,4800,0.0,10020.761593205232
24,Val,4800,0.0,10017.713657338372
27,Training,5400,0.0,10014.713875241556
27,Val,5400,0.0,10017.47540659191
29,Training,6000,0.0,10020.602153830547
29,Val,6000,0.0,10017.400444441268
32,Training,6600,0.0,10020.434171846737
32,Val,6600,0.0,10018.216026618062
35,Training,7200,0.0,10019.429260968049
35,Val,7200,0.0,10018.018819690098
38,Training,7800,0.0,10021.626737900602
38,Val,7800,0.0,10017.981056581873
41,Training,8400,0.0,10019.909745498127
41,Val,8400,0.0,10017.960744493208
44,Training,9000,0.0,10022.150477743493
44,Val,9000,0.0,10017.937478461172
47,Training,9600,0.0,10018.33075821556
47,Val,9600,0.0,10018.123170454854
50,Training,10200,0.0,10019.237649883498
50,Val,10200,0.0,10018.061922760611
